Column1;Column2;Column3;Column4
0;1022;43.60969924926758;3.896939992904663
1;1139;43.60969924926758;3.896939992904663
2;1205;43.60969924926758;3.896939992904663
3;1126;43.60969924926758;3.896939992904663
4;982;43.60969924926758;3.896939992904663
5;1009;43.60969924926758;3.896939992904663
6;1077;43.60969924926758;3.896939992904663
0;1273;43.61620945549243;3.874408006668091
1;1473;43.61620945549243;3.874408006668091
2;1547;43.61620945549243;3.874408006668091
3;1497;43.61620945549243;3.874408006668091
4;1340;43.61620945549243;3.874408006668091
5;849;43.61620945549243;3.874408006668091
6;652;43.61620945549243;3.874408006668091
0;772;43.61465;3.8336
1;849;43.61465;3.8336
2;761;43.61465;3.8336
3;825;43.61465;3.8336
4;759;43.61465;3.8336
5;499;43.61465;3.8336
6;447;43.61465;3.8336
0;769;43.6266977;3.8956288
1;853;43.6266977;3.8956288
2;825;43.6266977;3.8956288
3;870;43.6266977;3.8956288
4;801;43.6266977;3.8956288
5;617;43.6266977;3.8956288
6;536;43.6266977;3.8956288
0;1082;43.6138841;3.8684671
1;1261;43.6138841;3.8684671
2;1195;43.6138841;3.8684671
3;1191;43.6138841;3.8684671
4;1047;43.6138841;3.8684671
5;694;43.6138841;3.8684671
6;436;43.6138841;3.8684671
0;446;43.57883;3.8684671
1;481;43.57883;3.8684671
2;496;43.57883;3.8684671
3;490;43.57883;3.8684671
4;445;43.57883;3.8684671
5;484;43.57883;3.8684671
6;516;43.57883;3.8684671
0;172;43.5907;3.81324
1;236;43.5907;3.81324
2;228;43.5907;3.81324
3;225;43.5907;3.81324
4;152;43.5907;3.81324
5;248;43.5907;3.81324
6;303;43.5907;3.81324
0;237;43.6157418;3.9096322
1;267;43.6157418;3.9096322
2;245;43.6157418;3.9096322
3;263;43.6157418;3.9096322
4;209;43.6157418;3.9096322
5;90;43.6157418;3.9096322
6;90;43.6157418;3.9096322
